"All the Meats(TM), Original Crust"
5.1 oz
390 19 37
"All the Meats(TM), Thin Crust"
4.1 oz
345 22 22
"Cheese, Original Crust"
3.9 oz
270 9 37
"Cheese, Thin Crust"
2.8 oz
225 12 22
"Garden Special(TM), Original Crust"
4.9 oz
290 10 39
"Garden Special(TM), Thin Crust"
4.1 oz
240 12 24
"Pepperoni, Original Crust"
4.1 oz
305 12 37
"Pepperoni, Thin Crust"
3.2 oz
260 15 22
"Sausage, Original Crust"
4.6 oz
335 14 37
"Sausage, Thin Crust"
3.5 oz
285 17 22
"The Works(TM), Original Crust"
5.1 oz
345 14 38
"The Works(TM), Thin Crust"
4.2 oz
295 17 23
