"Americano, Grande"
(16 oz)
17 0 3
"Americano, Short"
(8 oz)
6 0 1
"Americano, Tall"
(12 oz)
11 0 2
"Americano, Venti"
(20 oz)
17 0 3
"Blended Coffee Frappuccino, Grande"
(16 oz)
241 2.4 50
"Blended Coffee Frappuccino, Tall"
(12 oz)
181 1.8 38
"Blended Coffee Frappuccino, Venti"
(20 oz)
301 3 63
"Blended Mocha Frappucino, Grande"
(16 oz)
278 2.9 58
"Blended Mocha Frappucino, Tall"
(12 oz)
208 2.2 43
"Blended Mocha Frappucino, Venti"
(20 oz)
346 3.6 72
"Cappuccino, Low Fat Milk, Grande"
(16 oz)
144 4.8 15
"Cappuccino, Low Fat Milk, Short"
(8 oz)
79 2.7 8
"Cappuccino, Low Fat Milk, Tall"
(12 oz)
109 3.8 11
"Cappuccino, Low Fat Milk, Venti"
(20 oz)
158 5.4 17
"Cappuccino, Nonfat Milk, Grande"
(16 oz)
108 0.5 15
"Cappuccino, Nonfat Milk, Short"
(8 oz)
59 0.3 8
"Cappuccino, Nonfat Milk, Tall"
(12 oz)
80 0.4 11
"Cappuccino, Nonfat Milk, Venti"
(20 oz)
118 0.6 17
"Cappuccino, Soy Milk, Grande"
(16 oz)
120 5.3 7
"Cappuccino, Soy Milk, Short"
(8 oz)
56 2.9 4
"Cappuccino, Soy Milk, Tall"
(12 oz)
76 4.1 5
"Cappuccino, Soy Milk, Venti"
(20 oz)
112 5.9 8
"Cappuccino, Whole Milk, Grande"
(16 oz)
180 9.2 15
"Cappuccino, Whole Milk, Short"
(8 oz)
99 5.1 8
"Cappuccino, Whole Milk, Tall"
(12 oz)
137 7.1 11
"Cappuccino, Whole Milk, Venti"
(20 oz)
199 10 16
"Caramel Macchiato, Low Fat Milk, Grande"
(16 oz)
222 4.8 36
"Caramel Macchiato, Low Fat Milk, Short"
(8 oz)
109 2.5 17
"Caramel Macchiato, Low Fat Milk, Tall"
(12 oz)
167 3.7 27
"Caramel Macchiato, Low Fat Milk, Venti"
(20 oz)
272 5.9 44
"Caramel Macchiato, Nonfat Milk, Grande"
(16 oz)
190 0.9 36
"Caramel Macchiato, Nonfat Milk, Short"
(8 oz)
93 0.6 17
"Caramel Macchiato, Nonfat Milk, Tall"
(12 oz)
143 0.8 27
"Caramel Macchiato, Nonfat Milk, Venti"
(20 oz)
231 1.1 44
"Caramel Macchiato, Whole Milk, Grande"
(16 oz)
254 8.6 36
"Caramel Macchiato, Whole Milk, Short"
(8 oz)
125 4.4 17
"Caramel Macchiato, Whole Milk, Tall"
(12 oz)
191 6.6 27
"Caramel Macchiato, Whole Milk, Venti"
(20 oz)
312 11 44
"Chai Latte, Low Fat Milk, Grande"
(16 oz)
262 7 37
"Chai Latte, Low Fat Milk, Short"
(8 oz)
131 3.5 18
"Chai Latte, Low Fat Milk, Tall"
(12 oz)
186 4.8 27
"Chai Latte, Low Fat Milk, Venti"
(20 oz)
332 8.9 46
"Chai Latte, Nonfat Milk, Grande"
(16 oz)
211 0.7 37
"Chai Latte, Nonfat Milk, Short"
(8 oz)
105 0.4 19
"Chai Latte, Nonfat Milk, Tall"
(12 oz)
150 0.5 27
"Chai Latte, Nonfat Milk, Venti"
(20 oz)
266 0.9 47
"Chai Latte, Soy Milk, Grande"
(16 oz)
203 7.6 25
"Chai Latte, Soy Milk, Short"
(8 oz)
101 3.8 13
"Chai Latte, Soy Milk, Tall"
(12 oz)
145 5.3 18
"Chai Latte, Soy Milk, Venti"
(20 oz)
256 9.7 32
"Chai Latte, Whole Milk, Grande"
(16 oz)
315 13 36
"Chai Latte, Whole Milk, Short"
(8 oz)
158 6.6 18
"Chai Latte, Whole Milk, Tall"
(12 oz)
222 9.2 26
"Chai Latte, Whole Milk, Venti"
(20 oz)
398 17 46
"Cocoa, Low Fat Milk, Grande"
(16 oz)
433 18 51
"Cocoa, Low Fat Milk, Short"
(8 oz)
258 14 26
"Cocoa, Low Fat Milk, Tall"
(12 oz)
345 16 38
"Cocoa, Low Fat Milk, Venti"
(20 oz)
521 21 63
"Cocoa, Nonfat Milk, Grande"
(16 oz)
295 2.8 50
"Cocoa, Nonfat Milk, Short"
(8 oz)
147 1.4 25
"Cocoa, Nonfat Milk, Tall"
(12 oz)
218 2 37
"Cocoa, Nonfat Milk, Venti"
(20 oz)
368 3.5 63
"Cocoa, Soy Milk, Grande"
(16 oz)
286 10 37
"Cocoa, Soy Milk, Short"
(8 oz)
143 5.1 19
"Cocoa, Soy Milk, Tall"
(12 oz)
215 7.6 28
"Cocoa, Soy Milk, Venti"
(20 oz)
358 13 47
"Cocoa, Whole Milk, Grande"
(16 oz)
489 25 50
"Cocoa, Whole Milk, Short"
(8 oz)
286 17 25
"Cocoa, Whole Milk, Tall"
(12 oz)
387 21 38
"Cocoa, Whole Milk, Venti"
(20 oz)
591 29 62
"Espresso Con Panna, Doppio"
(2 oz)
39 3 2
"Espresso Con Panna, Solo"
(1 oz)
33 3 1
"Espresso Macchiato, Low Fat Milk, Doppio"
(2 oz)
19 0.3 3
"Espresso Macchiato, Low Fat Milk, Solo"
(1 oz)
13 0.3 2
"Espresso Macchiato, Nonfat Milk, Doppio"
(2 oz)
17 0 3
"Espresso Macchiato, Nonfat Milk, Solo"
(1 oz)
11 0 2
"Espresso Macchiato, Soy Milk, Doppio"
(2 oz)
16 0.3 2
"Espresso Macchiato, Soy Milk, Solo"
(1 oz)
11 0.3 1
"Espresso Macchiato, Whole Milk, Doppio"
(2 oz)
20 0.5 3
"Espresso Macchiato, Whole Milk, Solo"
(1 oz)
15 0.5 2
"Espresso, Doppio"
(2 oz)
11 0 2
"Espresso, Solo"
(1 oz)
6 0 1
"Iced Chai Latte, Low Fat Milk, Grande"
(16 oz)
189 4.3 30
"Iced Chai Latte, Low Fat Milk, Tall"
(12 oz)
127 2.7 21
"Iced Chai Latte, Low Fat Milk, Venti"
(20 oz)
229 5.1 36
"Iced Chai Latte, Nonfat Milk, Grande"
(16 oz)
157 0.4 30
"Iced Chai Latte, Nonfat Milk, Tall"
(12 oz)
107 0.3 21
"Iced Chai Latte, Nonfat Milk, Venti"
(20 oz)
191 0.5 36
"Iced Chai Latte, Soy Milk, Grande"
(16 oz)
153 4.7 22
"Iced Chai Latte, Soy Milk, Tall"
(12 oz)
104 2.9 16
"Iced Chai Latte, Soy Milk, Venti"
(20 oz)
186 5.6 28
"Iced Chai Latte, Whole Milk, Grande"
(16 oz)
221 8.2 29
"Iced Chai Latte, Whole Milk, Tall"
(12 oz)
147 5.1 21
"Iced Chai Latte, Whole Milk, Venti"
(20 oz)
267 9.7 36
"Iced Mocha w/o Whip Cream, Low Fat Milk, Grande"
(16 oz)
199 5.3 35
"Iced Mocha w/o Whip Cream, Low Fat Milk, Short"
(8 oz)
114 3.2 19
"Iced Mocha w/o Whip Cream, Low Fat Milk, Tall"
(12 oz)
147 4 26
"Iced Mocha w/o Whip Cream, Low Fat Milk, Venti"
(20 oz)
231 6.1 41
"Iced Mocha w/o Whip Cream, Nonfat Milk, Grande"
(16 oz)
175 2.4 35
"Iced Mocha w/o Whip Cream, Nonfat Milk, Short"
(8 oz)
98 1.3 19
"Iced Mocha w/o Whip Cream, Nonfat Milk, Tall"
(12 oz)
128 1.8 26
"Iced Mocha w/o Whip Cream, Nonfat Milk, Venti"
(20 oz)
205 3 42
"Iced Mocha w/o Whip Cream, Soy Milk, Grande"
(16 oz)
172 5.6 29
"Iced Mocha w/o Whip Cream, Soy Milk, Short"
(8 oz)
96 3.4 15
"Iced Mocha w/o Whip Cream, Soy Milk, Tall"
(12 oz)
126 4.2 21
"Iced Mocha w/o Whip Cream, Soy Milk, Venti"
(20 oz)
202 6.4 36
"Iced Mocha w/o Whip Cream, Whole Milk, Grande"
(16 oz)
223 8.2 35
"Iced Mocha w/o Whip Cream, Whole Milk, Short"
(8 oz)
130 5.1 19
"Iced Mocha w/o Whip Cream, Whole Milk, Tall"
(12 oz)
165 6.2 25
"Iced Mocha w/o Whip Cream, Whole Milk, Venti"
(20 oz)
258 9.3 41
"Iced Mocha, Low Fat Milk, Grande"
(16 oz)
129 4.3 14
"Iced Mocha, Low Fat Milk, Short"
(8 oz)
79 2.7 8
"Iced Mocha, Low Fat Milk, Tall"
(12 oz)
94 3.2 10
"Iced Mocha, Low Fat Milk, Venti"
(20 oz)
144 4.8 15
"Iced Mocha, Nonfat Milk, Grande"
(16 oz)
97 0.4 14
"Iced Mocha, Nonfat Milk, Short"
(8 oz)
59 0.3 8
"Iced Mocha, Nonfat Milk, Tall"
(12 oz)
70 0.3 10
"Iced Mocha, Nonfat Milk, Venti"
(20 oz)
108 0.5 15
"Iced Mocha, Soy Milk, Grande"
(16 oz)
92 4.7 6
"Iced Mocha, Soy Milk, Short"
(8 oz)
56 2.9 4
"Iced Mocha, Soy Milk, Tall"
(12 oz)
66 3.5 4
"Iced Mocha, Soy Milk, Venti"
(20 oz)
102 5.3 7
"Iced Mocha, Whole Milk, Grande"
(16 oz)
161 8.2 13
"Iced Mocha, Whole Milk, Short"
(8 oz)
99 5.1 8
"Iced Mocha, Whole Milk, Tall"
(12 oz)
118 6.1 10
"Iced Mocha, Whole Milk, Venti"
(20 oz)
180 9.2 15
"Latte, Low Fat Milk, Grande"
(16 oz)
217 7.5 22
"Latte, Low Fat Milk, Short"
(8 oz)
109 3.8 11
"Latte, Low Fat Milk, Tall"
(12 oz)
167 5.9 17
"Latte, Low Fat Milk, Venti"
(20 oz)
276 9.7 28
"Latte, Nonfat Milk, Grande"
(16 oz)
161 0.8 23
"Latte, Nonfat Milk, Short"
(8 oz)
50 0.4 11
"Latte, Nonfat Milk, Tall"
(12 oz)
123 0.6 17
"Latte, Nonfat Milk, Venti"
(20 oz)
204 1 29
"Latte, Soy Milk, Grande"
(16 oz)
153 8.2 10
"Latte, Soy Milk, Short"
(8 oz)
76 4.1 5
"Latte, Soy Milk, Tall"
(12 oz)
117 6.4 7
"Latte, Soy Milk, Venti"
(20 oz)
193 11 12
"Latte, Whole Milk, Grande"
(16 oz)
274 14 22
"Latte, Whole Milk, Short"
(8 oz)
137 7.1 11
"Latte, Whole Milk, Tall"
(12 oz)
212 11.2 17
"Latte, Whole Milk, Venti"
(20 oz)
348 18 28
"Mocha, Low Fat Milk, Grande, Grande"
(16 oz)
370 17 44
"Mocha, Low Fat Milk, Short"
(8 oz)
226 13 22
"Mocha, Low Fat Milk, Tall"
(12 oz)
302 15.5 33
"Mocha, Low Fat Milk, Venti"
(20 oz)
446 20 55
"Mocha, Nonfat Milk, No Whip Cream, Grande"
(16 oz)
239 2.8 44
"Mocha, Nonfat Milk, No Whip Cream, Short"
(8 oz)
120 1.4 22
"Mocha, Nonfat Milk, No Whip Cream, Tall"
(12 oz)
182 2.1 33
"Mocha, Nonfat Milk, No Whip Cream, Venti"
(20 oz)
302 3.5 55
"Mocha, Soy Milk, No Whip Cream, Grande"
(16 oz)
232 9.1 33
"Mocha, Soy Milk, No Whip Cream, Short"
(8 oz)
116 4.6 16
"Mocha, Soy Milk, No Whip Cream, Tall"
(12 oz)
176 7.1 24
"Mocha, Soy Milk, No Whip Cream, Venti"
(20 oz)
293 12 41
"Mocha, Whole Milk, Grande"
(16 oz)
418 23 44
"Mocha, Whole Milk, Short"
(8 oz)
250 16 8
"Mocha, Whole Milk, Tall"
(12 oz)
340 20.1 33
"Mocha, Whole Milk, Venti"
(20 oz)
508 27 55
"Steamed Milk, Low Fat Milk, Grande"
(16 oz)
235 8.6 23
"Steamed Milk, Low Fat Milk, Short"
(8 oz)
118 4.3 12
"Steamed Milk, Low Fat Milk, Tall"
(12 oz)
176 6.4 17
"Steamed Milk, Low Fat Milk, Venti"
(20 oz)
294 11 29
"Steamed Milk, Nonfat Milk, Grande"
(16 oz)
171 0.9 24
"Steamed Milk, Nonfat Milk, Short"
(8 oz)
86 0.4 12
"Steamed Milk, Nonfat Milk, Tall"
(12 oz)
128 0.7 18
"Steamed Milk, Nonfat Milk, Venti"
(20 oz)
214 1.1 30
"Steamed Milk, Soy Milk, Grande"
(16 oz)
162 9.4 9
"Steamed Milk, Soy Milk, Short"
(8 oz)
81 4.7 4
"Steamed Milk, Soy Milk, Tall"
(12 oz)
121 7 7
"Steamed Milk, Soy Milk, Venti"
(20 oz)
202 12 11
"Steamed Milk, Whole Milk, Grande"
(16 oz)
300 16 23
"Steamed Milk, Whole Milk, Short"
(8 oz)
150 8.2 11
"Steamed Milk, Whole Milk, Tall"
(12 oz)
225 12 17
"Steamed Milk, Whole Milk, Venti"
(20 oz)
375 20 28
