Cold Cut Trio, cold
9.0 oz
374 14 45
Dijon Horseradish Melt
9.2 oz
465 22 47
Ham Sandwich on Deli Style Roll
5.7 oz
224 3 37
Ham, cold
8.5 oz
293 5 45
Honey Mustard Ham
8.2 oz
311 5 52
Meatball, hot
9.5 oz
413 15 50
Red Wine Vinaigrette Club
9.5 oz
350 6 53
Roast Beef Sandwich on Deli Style Roll
6.0 oz
236 4 37
Roast Beef, cold
8.5 oz
296 5 45
Roasted Chicken Breast, hot
9.0 oz
342 6 46
SUBWAY ClubR, cold
9.0 oz
304 5 46
SUBWAY MeltR, hot
9.1 oz
370 11 46
Seafood & CrabR, cold
9.0 oz
338 9 51
Southwest Turkey Bacon
8.5 oz
407 17 48
Steak & Cheese, hot
9.3 oz
363 10 47
Steak & Cheese, hot
9.3 oz
363 10 47
Super Classic Italian BMTR
11.5 oz
668 39 47
Super Cold Cut TrioTM
11.4 oz
517 24 47
Super Ham
10.4 oz
354 7 47
Super Meatball
12.5 oz
594 27 58
Super Roast Beef
10.4 oz
360 7 47
Super Roasted Chicken Breast
11.5 oz
453 9 49
Super SUBWAY ClubR
11.5 oz
377 7 48
Super SUBWAY MeltR
11.8 oz
509 19 48
Super Seafood & CrabR made with light mayonnaise
11.5 oz
444 15 58
Super Steak & Cheese
12.2 oz
495 17 50
Super Steak & Cheese
12.2 oz
495 17 50
Super Tuna made with light mayonnaise
11.5 oz
525 26 46
Super Turkey & Ham
10.4 oz
343 6 47
Super Turkey & Ham
10.4 oz
343 6 47
Super Turkey Breast
10.4 oz
333 4 47
Sweet Onion Chicken Teriyaki 
9.5 oz
374 5 59
Tuna Sandwich on Deli Style Roll with light mayonnaise dressing
6.0 oz
267 8 37
Tuna with light mayonnaise, cold
9.0 oz
378 14 45
Turkey & Ham, cold
8.5 oz
288 4 45
Turkey & Ham, cold
8.5 oz
288 4 45
Turkey Breast Sandwich on Deli Style Roll
6.0 oz
227 4 37
Turkey Breast, cold
8.5 oz
282 4 45
Veggie DeliteR, cold
6.5 oz
232 3 43
